"Accuracy","Cognate_status","Condition","Emotional_valence_cat","Emotional_valence_cont","Experiment","Item_type","Length","Lg10SUBTLEX_US","Participant","RT","Stimulus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Datenschutz_keyboard_response","correct_break_1_keyboard_response","correct_break_1_keyboard_response_1","correct_break_2_keyboard_response","correct_break_2_keyboard_response_1","correct_end_of_exp_keyboard_response","correct_end_of_prac_keyboard_response","correct_instructions_keyboard_response","correct_response","correct_stimulus_keyboard_response","correct_stimulus_keyboard_response_1","count_Datenschutz","count_Datenschutz_keyboard_response","count_break_1","count_break_1_1","count_break_1_keyboard_response","count_break_1_keyboard_response_1","count_break_2_keyboard_response","count_break_2_keyboard_response_1","count_break_2_sketchpad","count_break_2_sketchpad_1","count_end_of_exp","count_end_of_exp_keyboard_response","count_end_of_prac","count_end_of_prac_keyboard_response","count_experiment","count_experimental_loop","count_fixation","count_fixation_1","count_getting_started","count_instructions","count_instructions_keyboard_response","count_logger","count_logger_1","count_participants","count_practice_loop","count_stimulus","count_stimulus_1","count_stimulus_keyboard_response","count_stimulus_keyboard_response_1","count_trial_sequence","count_trial_sequence_1","count_variables","count_variables_1","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Datenschutz_keyboard_response","response_break_1_keyboard_response","response_break_1_keyboard_response_1","response_break_2_keyboard_response","response_break_2_keyboard_response_1","response_end_of_exp_keyboard_response","response_end_of_prac_keyboard_response","response_instructions_keyboard_response","response_stimulus_keyboard_response","response_stimulus_keyboard_response_1","response_time","response_time_Datenschutz_keyboard_response","response_time_break_1_keyboard_response","response_time_break_1_keyboard_response_1","response_time_break_2_keyboard_response","response_time_break_2_keyboard_response_1","response_time_end_of_exp_keyboard_response","response_time_end_of_prac_keyboard_response","response_time_instructions_keyboard_response","response_time_stimulus_keyboard_response","response_time_stimulus_keyboard_response_1","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Datenschutz","time_Datenschutz_keyboard_response","time_break_1","time_break_1_1","time_break_1_keyboard_response","time_break_1_keyboard_response_1","time_break_2_keyboard_response","time_break_2_keyboard_response_1","time_break_2_sketchpad","time_break_2_sketchpad_1","time_end_of_exp","time_end_of_exp_keyboard_response","time_end_of_prac","time_end_of_prac_keyboard_response","time_experiment","time_experimental_loop","time_fixation","time_fixation_1","time_getting_started","time_instructions","time_instructions_keyboard_response","time_logger","time_logger_1","time_participants","time_practice_loop","time_stimulus","time_stimulus_1","time_stimulus_keyboard_response","time_stimulus_keyboard_response_1","time_trial_sequence","time_trial_sequence_1","time_variables","time_variables_1","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1","noncognate","nonword","#N/A","#N/A","LDT","prac","4","#N/A","1009","1722","GERL","100","100","28014","28014","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","f","1","NA","NA","NA","0","NA","0","NA","0","NA","0","NA","0","0","0","0","0","0","0","NA","NA","0","0","0","NA","0","0","0","NA","0","NA","0","NA","0","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","0","0","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","f","NA","NA","NA","NA","NA","NA","NA","space","f","NA","1722","NA","NA","NA","NA","NA","NA","NA","54306","1722","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","59353","NA","NA","4038","4039","61579","NA","4028","58345","59857","NA","59857","NA","59343","NA","61579","NA","NA","LDT","1","56028","2","yes","1920"
"1","noncognate","word","neutral","5.11","LDT","prac","6","3.209783015","1009","1138","SQUARE","100","100","19055.333333333332","19055.333333333332","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","1","NA","1","NA","1","NA","1","NA","0","0","0","0","0","0","1","NA","NA","0","0","1","NA","0","0","1","NA","1","NA","1","NA","1","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","1","1","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","1138","NA","NA","NA","NA","NA","NA","NA","54306","1138","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","62601","NA","NA","4038","4039","64244","NA","4028","58345","63104","NA","63105","NA","62592","NA","64244","NA","NA","LDT","2","57166","3","yes","1920"
"1","noncognate","word","neutral","5.28","LDT","prac","6","3.567849451","1009","1082","GROUND","100","100","14562","14562","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","2","NA","2","NA","2","NA","2","NA","0","0","0","0","0","0","2","NA","NA","0","0","2","NA","0","0","2","NA","2","NA","2","NA","2","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","2","2","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","1082","NA","NA","NA","NA","NA","NA","NA","54306","1082","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","65249","NA","NA","4038","4039","66834","NA","4028","58345","65751","NA","65751","NA","65238","NA","66834","NA","NA","LDT","3","58248","4","yes","1920"
"1","noncognate","word","positive","7.27","LDT","prac","5","4.185428821","1009","1108","HONEY","100","100","11871.2","11871.2","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","3","NA","3","NA","3","NA","3","NA","0","0","0","0","0","0","3","NA","NA","0","0","3","NA","0","0","3","NA","3","NA","3","NA","3","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","3","3","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","1108","NA","NA","NA","NA","NA","NA","NA","54306","1108","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","67866","NA","NA","4038","4039","69477","NA","4028","58345","68369","NA","68369","NA","67855","NA","69477","NA","NA","LDT","4","59356","5","yes","1920"
"0","noncognate","nonword","#N/A","#N/A","LDT","prac","6","#N/A","1009","1453","ASSIGH","80","80","10134.833333333334","10134.833333333334","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","f","0","NA","NA","NA","4","NA","4","NA","4","NA","4","NA","0","0","0","0","0","0","4","NA","NA","0","0","4","NA","0","0","4","NA","4","NA","4","NA","4","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","4","4","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","1453","NA","NA","NA","NA","NA","NA","NA","54306","1453","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","70523","NA","NA","4038","4039","72479","NA","4028","58345","71025","NA","71025","NA","70513","NA","72479","NA","NA","LDT","4","60809","6","yes","1920"
"1","noncognate","word","negative","2.9","LDT","prac","4","3.172018809","1009","1097","LOSS","83.33333333333333","83.33333333333333","8843.714285714286","8843.714285714286","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","5","NA","5","NA","5","NA","5","NA","0","0","0","0","0","0","5","NA","NA","0","0","5","NA","0","0","5","NA","5","NA","5","NA","5","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","5","5","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","1097","NA","NA","NA","NA","NA","NA","NA","54306","1097","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","73494","NA","NA","4038","4039","75096","NA","4028","58345","73998","NA","73998","NA","73484","NA","75096","NA","NA","LDT","5","61906","7","yes","1920"
"0","noncognate","nonword","#N/A","#N/A","LDT","prac","7","#N/A","1009","2148","DILIGHT","71.42857142857143","71.42857142857143","8006.75","8006.75","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","f","0","NA","NA","NA","6","NA","6","NA","6","NA","6","NA","0","0","0","0","0","0","6","NA","NA","0","0","6","NA","0","0","6","NA","6","NA","6","NA","6","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","6","6","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","2148","NA","NA","NA","NA","NA","NA","NA","54306","2148","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","76183","NA","NA","4038","4039","78835","NA","4028","58345","76685","NA","76685","NA","76170","NA","78833","NA","NA","LDT","5","64054","8","yes","1920"
"1","noncognate","word","negative","2.68","LDT","prac","5","3.224274014","1009","1179","CRACK","75","75","7248.111111111111","7248.111111111111","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","7","NA","7","NA","7","NA","7","NA","0","0","0","0","0","0","7","NA","NA","0","0","7","NA","0","0","7","NA","7","NA","7","NA","7","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","7","7","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","1179","NA","NA","NA","NA","NA","NA","NA","54306","1179","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","79825","NA","NA","4038","4039","81507","NA","4028","58345","80327","NA","80327","NA","79816","NA","81507","NA","NA","LDT","6","65233","9","yes","1920"
"0","noncognate","nonword","#N/A","#N/A","LDT","prac","7","#N/A","1009","2429","INVALVE","66.66666666666667","66.66666666666667","6766.2","6766.2","black","xpyriment","legacy","legacy","0","uniform","0","NA","NA","NA","NA","NA","NA","NA","undefined","f","0","NA","NA","NA","8","NA","8","NA","8","NA","8","NA","0","0","0","0","0","0","8","NA","NA","0","0","8","NA","0","0","8","NA","8","NA","8","NA","8","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","8","8","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","2429","NA","NA","NA","NA","NA","NA","NA","54306","2429","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","82573","NA","NA","4038","4039","85508","NA","4028","58345","83078","NA","83078","NA","82557","NA","85508","NA","NA","LDT","6","67662","10","yes","1920"
"1","noncognate","word","positive","7.3","LDT","prac","6","3.065206128","1009","1266","FLOWER","70","70","6266.181818181818","6266.181818181818","black","xpyriment","legacy","legacy","0","uniform","1","NA","NA","NA","NA","NA","NA","NA","undefined","j","1","NA","NA","NA","9","NA","9","NA","9","NA","9","NA","0","0","0","0","0","0","9","NA","NA","0","0","9","NA","0","0","9","NA","9","NA","9","NA","9","NA","NA","Tue Jan  6 16:24:17 2026","The main experiment item","yes","LDT_Gruppe1_final.osexp","C:\Users\jasmi\OneDrive\Dokumente\Uni\Master\1 WS25_26\Sprachverarbeitung im Kontext individueller Unterschiede\Experiment","no","mono","no","18","no","white","no","yes","1010","legacy","9","9","C:/Users/jasmi/OneDrive/Dokumente/Uni/Master/1 WS25_26/Sprachverarbeitung im Kontext individueller Unterschiede/Experiment/subject-1009.csv","xpyriment","Lentiform Loewenfeld","3.3.11","0","j","NA","NA","NA","NA","NA","NA","NA","space","j","NA","1266","NA","NA","NA","NA","NA","NA","NA","54306","1266","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","1009","odd","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4028","NA","86555","NA","NA","4038","4039","88325","NA","4028","58345","87057","NA","87058","NA","86546","NA","88325","NA","NA","LDT","7","68928","11","yes","1920"
